"Id"	"Designator"	"Package"	"Quantity"	"Designation"	"Manf. Part No."	"Supplier"	"Supplier ref"
1	"CON1"	"MICRO-B_USB"	1	"USB_2B"	"ZX62-B-5PA"	"Farnell"	1645325
2	"D17,D14,D13,D10,D9,D6,D5,D2,D1,D15,D11,D7,D3,D4,D8,D12,D16"	"APTR3216SxxCK"	17	"LED"	"APTR3216SURCK"	"Digikey"	"754-1173-2-ND"
4	"X1"	"adafruit-NX5032"	1	"CRYSTAL_16MHz"	"7A-16.000MAAJ-T"	"Farnell"	1841946
6	"C11,C1,C12,C2,C6,C19"	"SM0805"	6	"100nF"	"MCCA000274"	"Farnell"	1759143
7	"C13,C14,C20"	"SM0805"	3	"10nF"	"MCCA000368"	"Farnell"	1759246
8	"R2,R3,R12,R15,R10,R4,R8,R6"	"SM0805"	8	"1k"	"MCSR08X1001FTL "		2074332
9	"C4"	"SM0805"	1	"1uF"	"0805ZC105KAT2A "		2281021
10	"C9,C8"	"SM0805"	2	"18pF"	"MC0805N180J101CT "		2310644
11	"R1,R23,R20,R24,R18,R22,R17,R19,R34,R31,R35,R30,R29,R28,R36,R25,R37"	"SM0805"	17	"120R"	"MCSR04X1200FTL "		2073977
12	"L1,L2"	"SM0805"	2	"FERRITE_BEAD"	"2508051217Y0"		6347060
13	"C7,C10,C3,C5"	"SM0805"	4	"4.7nF"	"MCCA000364 "		1759241
14	"C18,C15,C16,C17"	"SM0805"	4	"1nF"	"MCCA000350"		1759226
15	"R16,R11,R14,R5"	"SM0805"	4	"1M"	"MCHP05W4F1004T5E "		1576507
16	"R9,R21,R27,R33,R39,R7"	"SM0805"	6	"22R"	"ASC0805-22RFT5 "		2078943
17	"R13"	"SM0805"	1	"10k"	"ASC0805-10KFT5 "		2078962
18	"Q1,Q2,Q4,Q3"	"SOT23-NX7002AK"	4	"MOSFET_N"	"NX7002AK"		2191746
19	"U1"	"TQFP44"	1	"ATMEGA32U4"			
20	"R26,R32,R38,R40"	"SM0805"	4	"4k7"	"MCSR08X4701FTL "		2074469
